transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,discount,pre_discount_total_price,grand_total_price,payment_method,employee_id,credit_card_number,credit_card_type
81,447,7528,2022-02-23,27,955.28,,25792.56,25792.56,cash,419,,
82,756,4859,2023-09-23,46,"5,523.36",0.02,254074.56,5081.4912,credit card,712,3575690793497295,visa
83,425,8946,2023-09-30,32,"7,354.11",0.67,235331.52,157672.1184,cash,421,,
84,415,7261,2022-05-22,52,"1,073.67",,55830.84,55830.84,credit card,826,3546255912278327,jcb
85,185,9583,2023-03-25,76,"2,513.67",,191038.92,191038.92,credit card,176,201461363561896,diners-club-enroute
86,293,1820,2022-05-28,38,"3,731.22",,141786.36,141786.36,cash,65,,
87,354,2856,2022-08-17,31,"5,480.58",,169897.98,169897.98,credit card,217,50383882741651239,maestro
88,177,5118,2022-01-14,53,"3,851.94",,204152.82,204152.82,cash,136,,
89,869,9039,2022-10-28,41,"5,216.42",,213873.22,213873.22,credit card,553,5328942949989773,diners-club-us-ca
90,934,775,2023-09-20,30,"2,233.84",,67015.2,67015.2,cash,569,,
91,602,7587,2023-07-17,17,"5,048.99",,85832.83,85832.83,credit card,308,3545589748867221,jcb
92,550,9933,2023-11-10,88,"6,313.97",0.60,555629.36,333377.616,credit card,684,560224255788888959,china-unionpay
93,449,2520,2022-04-11,72,"3,399.31",0.46,244750.32,112585.1472,check,873,,
94,927,6509,2023-09-26,28,"6,359.94",,178078.32,178078.32,credit card,508,3561230082230887,jcb
95,544,5760,2022-11-11,32,"3,441.06",0.05,110113.92,5505.696,cash,484,,
96,880,5756,2022-07-30,90,"3,287.05",,295834.5,295834.5,credit card,679,3536957741287997,visa-electron
97,575,5470,2022-01-20,84,"7,319.05",,614800.2,614800.2,cash,523,,
98,305,6432,2023-08-12,38,"4,728.55",,179684.9,179684.9,cash,418,,
99,565,3835,2022-07-18,56,183.36,,10268.16,10268.16,credit card,365,3567695882411719,bankcard
100,360,8057,2022-05-28,83,"5,676.57",0.32,471155.31,150769.6992,credit card,133,4175003378417989,visa-electron
101,894,7084,2022-02-19,97,"1,510.94",,146561.18,146561.18,credit card,492,3552286018010422,jcb
102,221,5416,2022-06-09,68,588.19,,39996.92,39996.92,cash,455,,
103,896,990,2022-01-21,3,"9,676.00",0.95,29028,27576.6,credit card,614,3528946449481408,diners-club-international
104,141,5272,2022-05-22,37,"7,930.23",,293418.51,293418.51,credit card,566,3561618455134027,jcb
105,904,7832,2022-08-24,97,"1,572.84",,152565.48,152565.48,credit card,420,560224160796368046,china-unionpay
106,916,3028,2022-08-11,77,"5,150.01",,396550.77,396550.77,credit card,528,3558261330166974,jcb
107,634,3112,2023-10-14,69,"4,946.63",0.66,341317.47,225269.5302,credit card,767,67636750697075183,laser
108,796,1710,2023-12-19,87,"1,629.48",,141764.76,141764.76,check,186,,
109,754,5454,2022-06-10,89,"4,644.40",0.50,413351.6,206675.8,credit card,958,5301009104454521,mastercard
110,626,4585,2022-11-12,82,"6,776.70",,555689.4,555689.4,cash,753,,
111,728,2732,2022-07-27,30,"1,897.36",0.60,56920.8,34152.48,credit card,512,201580181668243,solo
112,774,9715,2022-07-10,79,"2,470.55",,195173.45,195173.45,credit card,714,6762735053377581459,jcb
113,878,4679,2022-05-12,35,"2,280.36",,79812.6,79812.6,credit card,238,560222614572604125,china-unionpay
114,564,3377,2023-11-24,38,"7,038.60",0.71,267466.8,189901.428,credit card,559,3542891408932102,bankcard
115,289,6300,2023-02-18,93,"5,204.12",,483983.16,483983.16,check,716,,
116,826,5932,2022-10-17,80,"6,223.88",,497910.4,497910.4,cash,554,,
117,193,7030,2023-01-11,24,"5,893.05",0.85,141433.2,120218.22,cash,526,,
118,894,6575,2022-07-05,38,"6,559.47",0.13,249259.86,32403.7818,credit card,284,3567864412122622,visa
119,181,9731,2023-12-14,47,"6,887.68",0.25,323720.96,80930.24,credit card,955,3554523851641287,jcb
120,263,749,2023-07-24,36,"3,789.46",1.00,136420.56,136420.56,check,660,,
121,618,6736,2023-07-31,74,"8,041.78",,595091.72,595091.72,credit card,930,3589932448698453,switch
122,424,7087,2023-08-20,87,"2,441.00",0.93,212367,197501.31,credit card,193,3568585184204939,jcb
123,66,8083,2023-04-05,59,"5,101.29",0.16,300976.11,48156.1776,check,577,,
124,324,7082,2022-03-07,88,"1,807.11",0.52,159025.68,82693.3536,credit card,293,3558962480524058,jcb
125,570,7919,2023-04-20,39,869.52,,33911.28,33911.28,credit card,113,5100140263703847,visa-electron
126,678,1490,2023-04-25,65,"5,921.17",0.88,384876.05,338690.924,cash,625,,
127,63,6815,2023-02-08,21,"1,605.72",,33720.12,33720.12,credit card,576,5602250766682563,bankcard
128,187,7456,2022-12-13,4,"6,716.38",,26865.52,26865.52,credit card,817,5107102196546563,mastercard
129,465,1224,2023-04-06,9,667.52,0.24,6007.68,1441.8432,credit card,575,3539870695864462,jcb
130,426,408,2022-11-07,32,595.05,,19041.6,19041.6,credit card,449,3589734591793507,jcb
131,738,3037,2023-04-26,95,"8,877.61",,843372.95,843372.95,credit card,694,3584070442858388,visa-electron
132,476,1896,2022-08-04,78,"2,850.21",0.76,222316.38,168960.4488,credit card,861,63045459000207897,laser
133,508,739,2022-01-12,78,"2,326.91",0.43,181498.98,78044.5614,credit card,988,3578724167333559,jcb
134,569,9517,2023-01-29,31,523.69,,16234.39,16234.39,cash,36,,
135,616,1879,2022-10-09,39,2.68,,104.52,104.52,credit card,168,5602229868243243,china-unionpay
136,455,6577,2022-04-04,40,"9,098.24",,363929.6,363929.6,credit card,419,5038481937969761,maestro
137,82,6334,2022-11-11,97,"5,751.28",,557874.16,557874.16,credit card,442,3577767157631178,jcb
138,445,973,2023-04-28,50,"8,877.53",0.71,443876.5,315152.315,check,767,,
139,787,5423,2022-01-08,63,"4,754.53",,299535.39,299535.39,credit card,515,3573688148962338,jcb
140,981,3232,2023-08-01,71,"1,915.95",,136032.45,136032.45,credit card,957,374283876137704,americanexpress
141,341,1530,2022-12-28,23,"8,349.44",,192037.12,192037.12,credit card,234,5007663747877485,mastercard
142,577,6764,2022-08-30,32,"5,671.95",0.57,181502.4,103456.368,credit card,465,36656725336991,diners-club-international
143,240,7003,2022-05-15,11,"6,804.55",,74850.05,74850.05,credit card,586,5602233246358285,bankcard
144,223,959,2022-12-09,54,"7,574.53",0.18,409024.62,73624.4316,credit card,172,63044458595974748,laser
145,38,1749,2023-06-24,19,"6,118.43",,116250.17,116250.17,credit card,12,3555421229099008,jcb
146,616,183,2022-01-26,74,"6,006.81",,444503.94,444503.94,check,181,,
147,935,5108,2023-02-07,3,511.88,,1535.64,1535.64,credit card,869,5641827068576255,switch
148,696,3510,2023-06-24,66,"9,585.14",,632619.24,632619.24,credit card,808,5108750654015387,diners-club-enroute
149,918,1812,2023-11-05,5,"4,864.93",,24324.65,24324.65,cash,652,,
150,23,8808,2022-11-10,7,"5,022.87",,35160.09,35160.09,credit card,541,5100170289299181,mastercard
151,389,1774,2022-11-11,29,578.46,,16775.34,16775.34,credit card,693,5602233326663992,bankcard
152,693,133,2022-11-17,54,"4,443.01",,239922.54,239922.54,credit card,891,4026752269545446,visa-electron
153,134,6246,2023-05-24,37,"7,534.70",,278783.9,278783.9,credit card,259,3552278135201745,jcb
154,712,5461,2023-08-27,80,"7,245.14",,579611.2,579611.2,credit card,168,4175004056345195,visa-electron
155,531,1380,2022-06-15,26,666.87,,17338.62,17338.62,credit card,532,5510713700967060,mastercard
156,673,6388,2022-03-28,97,"9,936.73",,963862.81,963862.81,cash,774,,
157,343,386,2022-11-05,30,"6,467.65",0.21,194029.5,40746.195,credit card,54,3534993883216074,jcb
158,545,4180,2022-08-30,94,"7,989.65",,751027.1,751027.1,credit card,749,374288089365083,americanexpress
159,986,6306,2023-01-28,58,"6,959.87",0.32,403672.46,129175.1872,credit card,120,3572326027314625,jcb
160,779,7941,2022-06-17,62,"7,670.43",,475566.66,475566.66,credit card,630,3585855709099224,jcb
161,17,1544,2023-03-05,92,"5,980.39",,550195.88,550195.88,credit card,736,3530656029413327,jcb
162,269,2075,2022-03-24,31,"8,079.34",0.48,250459.54,120220.5792,credit card,24,5490472315222577,diners-club-enroute
163,847,3082,2022-07-12,11,557.82,,6136.02,6136.02,credit card,419,374288668403859,americanexpress
164,875,2084,2023-11-15,86,"9,358.21",,804806.06,804806.06,check,447,,
165,275,1596,2023-05-05,61,"4,030.55",,245863.55,245863.55,credit card,93,675921700335335899,maestro
166,588,3714,2023-11-26,72,"5,743.33",,413519.76,413519.76,credit card,257,372301313846174,diners-club-international
167,787,4499,2023-05-23,82,"1,673.32",,137212.24,137212.24,check,810,,
168,28,3290,2023-04-16,58,"1,451.22",,84170.76,84170.76,credit card,75,3538713673948231,jcb
169,64,1449,2023-10-31,14,"1,613.49",0.51,22588.86,11520.3186,credit card,265,6762156417285454,maestro
170,292,7432,2023-03-13,72,"4,985.57",,358961.04,358961.04,credit card,815,3534026300269549,jcb
171,555,6839,2022-10-16,49,"2,892.40",0.34,141727.6,48187.384,credit card,44,0604633388265348,diners-club-us-ca
172,245,4038,2022-07-11,20,"3,887.67",,77753.4,77753.4,credit card,606,3541835783864092,jcb
173,138,1578,2023-03-09,76,"6,867.33",,521917.08,521917.08,credit card,79,67632187017621863,maestro
174,62,1629,2023-03-23,31,"9,604.61",,297742.91,297742.91,check,83,,
175,352,6006,2022-02-03,33,"9,841.84",,324780.72,324780.72,credit card,597,3581239905930199,jcb
176,223,9955,2022-11-01,11,"5,216.28",0.61,57379.08,35001.2388,check,231,,
177,705,966,2023-08-26,37,"5,334.68",,197383.16,197383.16,credit card,293,30296620418564,diners-club-carte-blanche
178,898,9841,2023-07-27,32,"1,587.80",,50809.6,50809.6,credit card,261,4017959568312417,visa
179,88,1753,2023-02-09,40,"7,873.85",,314954,314954,credit card,86,4026081268590124,visa-electron
180,948,5403,2023-03-13,24,"6,395.06",0.18,153481.44,27626.6592,credit card,692,3549958175068437,jcb
181,390,1465,2022-01-11,76,"3,207.46",,243766.96,243766.96,cash,444,,
182,649,6373,2023-07-21,68,"7,130.00",,484840,484840,credit card,590,3541427426594482,jcb
183,468,852,2022-03-08,82,"3,333.77",0.45,273369.14,123016.113,credit card,294,5602226306084692,bankcard
184,247,1414,2022-04-01,45,"8,226.52",0.80,370193.4,296154.72,credit card,666,30209711415167,diners-club-carte-blanche
185,633,1199,2023-09-22,85,"3,805.77",,323490.45,323490.45,credit card,200,3534789447163426,jcb
186,134,7866,2022-09-19,61,"9,054.61",0.54,552331.21,298258.8534,cash,124,,
187,771,2670,2022-04-23,59,"9,642.33",0.40,568897.47,227558.988,check,189,,
188,854,8320,2022-03-31,4,985.04,,3940.16,3940.16,credit card,700,3581246645594821,jcb
189,119,4315,2023-04-11,42,"1,448.44",,60834.48,60834.48,credit card,789,3537085603875391,jcb
190,961,1739,2023-06-17,7,"2,139.23",,14974.61,14974.61,check,482,,
191,671,3417,2023-10-02,59,"6,105.59",0.89,360229.81,320604.5309,credit card,41,060441178699066655,maestro
192,905,9388,2023-10-06,72,"5,197.41",,374213.52,374213.52,credit card,826,3572705367332067,jcb
193,775,5065,2023-06-01,82,"9,377.07",,768919.74,768919.74,check,123,,
194,843,9417,2023-03-16,83,"3,520.98",,292241.34,292241.34,credit card,936,3576790236076158,diners-club-enroute
195,940,2628,2022-02-20,53,555.37,,29434.61,29434.61,credit card,353,3563104146543528,instapayment
196,493,209,2023-06-14,40,340.49,,13619.6,13619.6,credit card,612,3532958079460283,instapayment
197,62,5574,2022-12-12,48,"6,669.41",0.42,320131.68,134455.3056,cash,678,,
198,201,2760,2023-12-24,88,"8,881.57",,781578.16,781578.16,cash,778,,
199,860,707,2023-08-19,93,"7,760.91",,721764.63,721764.63,cash,896,,
200,595,1204,2023-03-05,97,"4,848.80",,470333.6,470333.6,credit card,194,3570599664893042,jcb
201,187,9322,2023-10-20,26,"1,050.63",,27316.38,27316.38,credit card,86,3529694510328236,jcb
202,165,2542,2023-01-13,7,538.71,,3770.97,3770.97,cash,152,,
203,917,2060,2023-07-06,75,"4,240.88",,318066,318066,check,534,,
204,512,4940,2023-08-20,40,"4,121.19",,164847.6,164847.6,credit card,792,6304988732344755,maestro
205,679,3854,2022-10-04,5,"6,538.44",,32692.2,32692.2,credit card,620,201602164424251,diners-club-enroute
206,909,811,2022-01-16,3,"5,570.72",0.87,16712.16,14539.5792,credit card,470,3542706424764828,mastercard
207,479,2914,2023-06-15,27,"8,685.04",0.17,234496.08,39864.3336,credit card,911,3554321806824763,americanexpress
208,834,3054,2023-10-27,5,"4,473.02",,22365.1,22365.1,credit card,322,348967416958651,americanexpress
209,311,5742,2023-01-10,22,"5,196.42",,114321.24,114321.24,check,494,,
210,769,6203,2023-05-19,67,"2,246.03",0.57,150484.01,85775.8857,cash,42,,
211,192,6623,2023-12-23,22,"5,333.65",,117340.3,117340.3,cash,314,,
212,52,3382,2023-10-22,65,264.94,,17221.1,17221.1,credit card,965,3573045850407392,jcb
213,206,6545,2022-09-11,62,"2,334.71",,144752.02,144752.02,credit card,901,3557605791113654,diners-club-enroute
214,54,9372,2023-06-26,35,"9,654.59",,337910.65,337910.65,credit card,812,4917020125088296,jcb
215,741,7747,2022-11-16,15,"4,052.90",0.12,60793.5,7295.22,credit card,170,3586432323715541,jcb
216,100,4857,2023-06-15,4,"5,300.18",0.31,21200.72,6572.2232,credit card,992,345102222655043,americanexpress
217,797,1092,2023-02-07,99,"3,066.23",,303556.77,303556.77,credit card,291,3560585834720696,jcb
218,314,3934,2022-01-22,30,"6,975.00",,209250,209250,credit card,935,3563683931165050,jcb
219,811,454,2023-04-13,6,"5,196.14",0.17,31176.84,5300.0628,credit card,746,493638603102653209,switch
220,466,122,2023-04-12,82,"7,892.75",0.31,647205.5,200633.705,credit card,694,6384891111307158,instapayment
221,159,641,2022-10-16,37,"5,055.92",0.97,187069.04,181456.9688,credit card,202,5610142317752203,bankcard
222,406,4146,2022-02-02,25,"9,456.09",,236402.25,236402.25,credit card,464,4913283175860931,visa-electron
223,627,2794,2022-12-30,83,"3,677.17",0.41,305205.11,125134.0951,credit card,539,491129676396138079,switch
224,34,4889,2022-12-28,52,"5,288.83",0.63,275019.16,173262.0708,check,34,,
225,599,5931,2022-03-21,90,"7,828.43",0.14,704558.7,98638.218,check,328,,
226,473,7133,2022-04-25,73,"1,382.71",,100937.83,100937.83,credit card,619,493604538201549108,switch
227,216,1730,2023-10-17,40,"4,217.50",,168700,168700,cash,761,,
228,331,5342,2023-05-01,28,"2,713.76",0.96,75985.28,72945.8688,credit card,477,3585968075717509,jcb
229,177,5926,2022-10-15,49,"3,484.24",,170727.76,170727.76,cash,168,,
230,409,7313,2022-09-20,92,"6,326.14",,582004.88,582004.88,credit card,920,0604793578448847,maestro
231,493,4562,2022-01-25,62,"5,658.57",0.65,350831.34,228040.371,cash,117,,
232,147,7913,2022-04-20,13,"5,995.49",0.97,77941.37,75603.1289,credit card,558,4913489126657298,visa-electron
233,782,3121,2023-02-03,71,"2,717.59",,192948.89,192948.89,cash,744,,
234,205,5524,2022-05-21,88,"3,780.54",,332687.52,332687.52,credit card,991,0604754035618151347,maestro
235,99,8785,2023-11-04,50,"4,319.51",,215975.5,215975.5,cash,714,,
236,615,2367,2022-04-03,96,"3,255.22",0.26,312501.12,81250.2912,credit card,880,3537650610101147,jcb
237,112,2026,2023-07-14,74,"5,663.60",0.64,419106.4,268228.096,credit card,371,36147857414293,americanexpress
238,838,11,2022-07-31,100,"4,748.13",0.11,474813,52229.43,credit card,969,676259515027669920,maestro
239,61,771,2023-04-24,49,"1,100.62",0.90,53930.38,48537.342,cash,616,,
240,250,551,2022-12-31,96,"6,741.95",,647227.2,647227.2,check,650,,
241,109,475,2022-11-04,53,"3,291.26",,174436.78,174436.78,credit card,421,3576128759730325,jcb
242,798,5662,2023-06-10,42,"8,844.16",0.95,371454.72,352881.984,credit card,295,5602220000353206,diners-club-carte-blanche
243,202,6656,2023-08-14,89,"1,317.29",0.61,117238.81,71515.6741,check,973,,
244,479,2029,2023-08-04,2,"8,635.29",0.36,17270.58,6217.4088,credit card,343,370235365337991,americanexpress
245,446,8647,2022-01-21,33,"2,309.10",,76200.3,76200.3,credit card,320,3565619918337062,visa-electron
246,298,1916,2023-10-12,28,"4,003.53",0.20,112098.84,22419.768,cash,95,,
247,879,418,2023-06-20,71,"8,636.70",,613205.7,613205.7,credit card,169,3588698969326037,jcb
248,766,1591,2022-06-29,2,"7,889.63",0.40,15779.26,6311.704,credit card,757,3536370743333241,jcb
249,881,1985,2022-12-30,15,"2,878.91",,43183.65,43183.65,credit card,789,347622968204431,americanexpress
250,509,9481,2023-11-01,97,"8,175.73",0.14,793045.81,111026.4134,cash,507,,
251,785,9320,2022-02-16,29,"8,316.60",,241181.4,241181.4,cash,631,,
252,675,1034,2023-12-09,4,"2,852.49",0.85,11409.96,9698.466,credit card,546,3565151195748498,jcb
253,666,4755,2022-02-19,46,"9,416.85",0.19,433175.1,82303.269,credit card,460,3542109571206018,jcb
254,794,5016,2022-12-11,14,"3,731.37",,52239.18,52239.18,credit card,70,3541591075234359,diners-club-carte-blanche
255,722,1381,2022-02-26,11,"4,814.40",0.95,52958.4,50310.48,check,293,,
256,250,7280,2023-05-14,82,"4,858.13",0.97,398366.66,386415.6602,cash,319,,
257,766,4826,2022-09-22,1,"5,067.92",,5067.92,5067.92,cash,563,,
258,841,6914,2023-01-03,12,"5,470.09",0.13,65641.08,8533.3404,check,737,,
259,800,4024,2022-10-16,76,"5,900.52",,448439.52,448439.52,credit card,717,3547935505850744,jcb
260,594,4200,2023-01-13,30,"2,165.51",0.52,64965.3,33781.956,cash,489,,
261,401,5790,2022-02-18,95,"5,548.52",,527109.4,527109.4,credit card,339,56022211999023319,china-unionpay
262,931,7191,2023-05-21,65,"5,904.96",,383822.4,383822.4,credit card,170,3565678214616686,jcb
263,675,6456,2022-08-21,30,"7,515.13",0.46,225453.9,103708.794,credit card,8,3577140163187579,jcb
264,569,8244,2022-11-20,16,711.66,0.93,11386.56,10589.5008,cash,400,,
265,748,4537,2023-04-23,29,875.21,,25381.09,25381.09,credit card,187,6767648185270989804,solo
266,855,1853,2023-02-16,1,"2,287.37",0.31,2287.37,709.0847,credit card,691,060461115468110103,instapayment
267,482,5621,2022-08-07,77,836.90,,64441.3,64441.3,credit card,531,3548573319704697,jcb
268,429,7054,2022-09-29,30,"2,284.77",,68543.1,68543.1,credit card,675,3551507567687042,jcb
269,314,3466,2022-06-14,67,"9,803.86",,656858.62,656858.62,credit card,345,374622951656650,americanexpress
270,616,2484,2022-03-08,67,"2,537.20",,169992.4,169992.4,credit card,722,372301804219105,americanexpress
271,124,7958,2023-10-21,49,"3,281.39",0.72,160788.11,115767.4392,credit card,341,5602254029165887,visa-electron
272,540,2670,2022-04-21,7,"2,851.75",,19962.25,19962.25,credit card,338,5100176747239586,mastercard
273,925,6824,2023-10-19,77,"8,320.97",,640714.69,640714.69,credit card,48,6709642337421648,visa-electron
274,306,4716,2022-02-12,97,"3,205.35",0.87,310918.95,270499.4865,credit card,543,3558401335926762,americanexpress
275,211,8169,2023-07-30,38,"5,749.04",,218463.52,218463.52,credit card,943,3571891643603728,jcb
276,51,8129,2022-10-20,98,"4,839.09",0.10,474230.82,47423.082,credit card,50,5602239704664619,china-unionpay
277,490,5851,2023-12-11,17,"7,078.63",0.49,120336.71,58964.9879,credit card,723,30105966539984,diners-club-carte-blanche
278,708,6834,2022-04-03,13,"9,733.39",,126534.07,126534.07,credit card,957,6373264447713767,instapayment
279,819,3553,2023-03-09,88,"6,768.94",0.13,595666.72,77436.6736,credit card,707,060405575506149851,visa
280,754,2534,2022-05-07,37,"3,521.78",,130305.86,130305.86,credit card,684,3577534244298316,instapayment
