user_id,first_name,last_name,email,phone_number,address,city,state,postal_code,country,date_of_birth,gender,nationality,job_title,department,salary,hire_date,termination_date,manager_id,employee_status,performance_rating,work_location,employee_type,employee_id,supervisor_id
13,Thurston,Barajas,tbarajasc@xing.com,867-147-2526,74100 Southridge Junction,Horizonte,,62880-000,Brazil,11/4/1974,Male,Estonia,Electrical Engineer,Training,86302.97,12/8/2001,3/11/2018,13,Inactive,1.9,Branch Office,Part-time,13,13
14,Vincents,Cushion,vcushiond@odnoklassniki.ru,512-952-0566,4 Mariners Cove Crossing,Legrada,,7030,Philippines,10/4/1974,Male,Afghanistan,VP Accounting,Support,121235.23,6/16/2020,11/30/2000,14,On Leave,4.0,Headquarters,Full-time,14,14
15,Bucky,Durand,bdurande@macromedia.com,409-504-5639,8780 Amoth Pass,San Luis,,733008,Colombia,9/28/1997,Male,Sudan,Help Desk Technician,Accounting,142797.39,2/21/2014,12/1/2002,15,Inactive,1.7,Remote,Part-time,15,15
16,Chicky,McKag,cmckagf@webnode.com,426-946-6288,1 Clemons Road,Chłapowo,,84-120,Poland,4/13/1961,Male,Portugal,Clinical Specialist,Research and Development,148868.38,10/14/2008,4/5/2003,16,On Leave,3.6,Headquarters,Full-time,16,16
17,Karie,Bandy,kbandyg@nhs.uk,122-146-9515,777 Dottie Street,Klapagading,,,Indonesia,10/9/1955,Female,Nicaragua,Project Manager,Human Resources,36347.38,8/31/2017,7/25/2008,17,Active,3.3,Remote,Contract,17,17
18,Niels,Brambley,nbrambleyh@squarespace.com,695-479-3650,55 Heath Street,Yuzhno-Sukhokumsk,,368890,Russia,5/5/1997,Male,Indonesia,VP Sales,Engineering,148962.02,4/12/2005,3/4/2005,18,Active,2.3,Headquarters,Full-time,18,18
19,Kalil,Valois,kvaloisi@newyorker.com,146-371-3406,849 Harper Trail,Kopychyntsi,,,Ukraine,9/13/1985,Male,China,Human Resources Manager,Legal,183091.71,1/23/2003,8/10/2006,19,Active,2.0,Headquarters,Part-time,19,19
20,Melvin,Gokes,mgokesj@joomla.org,112-738-9071,15 International Avenue,Chinandega,,,Nicaragua,10/2/1958,Male,Philippines,Environmental Tech,Human Resources,87805.68,7/13/2013,6/5/2022,20,Inactive,3.8,Branch Office,Contract,20,20
21,Hyacinthe,Slesser,hslesserk@over-blog.com,689-261-5443,684 Cambridge Crossing,Limín Khersonísou,,,Greece,1/1/1992,Female,Indonesia,GIS Technical Architect,Marketing,62145.46,7/5/2003,10/13/2015,21,Active,1.9,Headquarters,Part-time,21,21
22,Morrie,Arnley,marnleyl@microsoft.com,174-364-5281,3347 Sauthoff Hill,Joconal,,,Honduras,7/19/1971,Male,Portugal,Accounting Assistant III,Marketing,83553.2,12/11/2002,9/29/2005,22,On Leave,3.0,Headquarters,Contract,22,22
23,Ellynn,Manginot,emanginotm@imdb.com,815-949-2888,9 Eagan Alley,Pianling,,,China,1/31/1971,Female,Hungary,Product Engineer,Business Development,71455.79,8/25/2021,1/14/2001,23,On Leave,1.1,Headquarters,Part-time,23,23
24,Theresa,Humburton,thumburtonn@tuttocitta.it,596-944-8277,286 Havey Terrace,Malczyce,,55-320,Poland,8/11/1980,Female,Indonesia,Software Engineer I,Business Development,43038.0,10/14/2002,10/27/2012,24,Active,4.1,Remote,Part-time,24,24
25,Hansiain,Bodiam,hbodiamo@jugem.jp,336-958-3311,741 Kropf Terrace,Greensboro,North Carolina,27404,United States,11/6/1952,Male,Czech Republic,Web Designer II,Marketing,137477.57,3/30/2004,9/17/2007,25,Inactive,2.8,Headquarters,Full-time,25,25
26,Talbot,Brogiotti,tbrogiottip@360.cn,913-873-4257,19 Old Shore Park,Arcos de Valdevez,Viana do Castelo,4970-434,Portugal,7/11/1977,Male,Namibia,Community Outreach Specialist,Human Resources,134992.15,9/27/2009,8/13/2004,26,On Leave,3.4,Branch Office,Part-time,26,26
27,Audry,Boughey,abougheyq@photobucket.com,143-701-0723,14 Dayton Crossing,Banjar Bucu,,,Indonesia,11/24/1995,Female,Israel,Quality Control Specialist,Research and Development,146627.07,12/7/2022,4/30/2022,27,Active,4.2,Branch Office,Full-time,27,27
28,Shurlocke,Pickring,spickringr@aol.com,966-962-1017,2879 Warbler Road,Popielów,,46-090,Poland,3/3/1986,Male,Cyprus,Executive Secretary,Human Resources,52795.01,6/21/2018,3/21/2017,28,Active,3.2,Headquarters,Contract,28,28
29,Cheryl,Klisch,cklischs@blogspot.com,188-882-0636,6666 Clemons Place,Medenine,,,Tunisia,8/17/1963,Genderqueer,Russia,Product Engineer,Business Development,164160.98,6/16/2012,4/24/2001,29,On Leave,3.0,Branch Office,Full-time,29,29
30,Euell,Hollingby,ehollingbyt@bigcartel.com,472-178-9610,880 Brown Parkway,Bunobogu,,,Indonesia,12/5/1998,Male,Poland,Clinical Specialist,Product Management,78776.16,1/16/2019,8/5/2019,30,On Leave,1.4,Headquarters,Contract,30,30
31,Boniface,Genike,bgenikeu@photobucket.com,171-343-0895,4 Everett Hill,Bendan,,,Indonesia,7/25/1987,Agender,China,Financial Analyst,Support,38176.88,1/26/2018,10/14/2016,31,On Leave,3.6,Remote,Full-time,31,31
32,Pepe,Fursland,pfurslandv@sogou.com,936-138-0463,48421 Buhler Place,Bapska,,32235,Croatia,3/5/1978,Agender,Russia,Analog Circuit Design manager,Sales,52924.03,12/25/2001,5/11/2022,32,Inactive,4.4,Headquarters,Part-time,32,32
33,Wallie,Larman,wlarmanw@spiegel.de,344-238-9035,1 Forest Run Center,Vostochnyy,,143969,Russia,7/4/1973,Male,United States,Staff Accountant II,Training,180274.62,8/12/2021,7/4/2003,33,Inactive,3.2,Branch Office,Contract,33,33
34,Kerwin,Arrighi,karrighix@hc360.com,995-190-5627,7983 Beilfuss Trail,Priekule,,,Latvia,3/11/1994,Male,Syria,Clinical Specialist,Marketing,178548.98,2/27/2002,7/18/2010,34,Inactive,1.9,Headquarters,Contract,34,34
35,Gale,Casa,gcasay@webmd.com,242-630-5928,9 Farwell Point,Whitchurch,England,BS14,United Kingdom,9/16/1972,Female,Japan,Software Engineer IV,Marketing,138767.97,7/12/2009,5/14/2013,35,On Leave,2.7,Headquarters,Contract,35,35
36,Lebbie,Woodfin,lwoodfinz@drupal.org,343-494-5206,086 Shelley Parkway,Thị Trấn Sìn Hồ,,,Vietnam,4/2/1952,Female,Sweden,Analyst Programmer,Support,172576.06,6/29/2009,11/22/2015,36,Active,3.7,Branch Office,Part-time,36,36
37,Crosby,Hedge,chedge10@elpais.com,300-519-9733,13176 David Court,Pipa,,,China,12/22/1967,Male,Portugal,Editor,Business Development,164038.56,5/22/2005,8/9/2006,37,Inactive,4.9,Branch Office,Contract,37,37
38,Analise,Piser,apiser11@cnet.com,207-344-7932,115 Spohn Place,Shixiang,,,China,9/30/1952,Female,Uruguay,Executive Secretary,Human Resources,118251.6,7/2/2017,6/11/2011,38,Inactive,4.5,Branch Office,Contract,38,38
39,Caryl,Esom,cesom12@topsy.com,245-422-0358,246 Melody Lane,Ismailia,,,Egypt,8/9/1981,Bigender,Indonesia,Biostatistician I,Product Management,24548.83,2/16/2005,3/10/2009,39,Active,4.9,Remote,Contract,39,39
40,Quincy,Dowda,qdowda13@google.co.jp,260-559-9541,5170 Lindbergh Parkway,Rengasdengklok,,,Indonesia,12/3/1963,Male,Honduras,Programmer I,Sales,100664.94,3/1/2014,1/7/2020,40,Active,1.4,Headquarters,Full-time,40,40
41,Niko,Giorgiutti,ngiorgiutti14@vimeo.com,808-865-2594,0 Esch Court,Bahía Blanca,,8000,Argentina,7/6/1993,Polygender,Russia,Account Executive,Support,79033.24,2/13/2022,3/10/2007,41,Inactive,4.7,Headquarters,Part-time,41,41
42,Meridith,O'Hoolahan,mohoolahan15@dagondesign.com,537-688-4416,16 Randy Hill,Pointe Michel,,,Dominica,7/17/1951,Female,Micronesia,Environmental Specialist,Sales,86510.22,5/27/2008,8/19/2017,42,On Leave,2.6,Branch Office,Part-time,42,42
43,Odette,Tear,otear16@shinystat.com,307-523-2727,4 Grayhawk Alley,Khlong Toei,,34360,Thailand,2/16/1973,Female,Armenia,Product Engineer,Sales,188646.96,7/7/2002,5/27/2002,43,On Leave,1.9,Remote,Contract,43,43
44,Zaria,Tapsell,ztapsell17@netscape.com,903-107-7415,9497 Acker Parkway,Yuanquan,,,China,12/1/1999,Female,France,Administrative Officer,Product Management,61686.41,10/20/2017,3/9/2021,44,On Leave,4.4,Branch Office,Part-time,44,44
45,Abbe,Paddingdon,apaddingdon18@cloudflare.com,503-716-2419,57 Lakewood Gardens Parkway,Valle de La Pascua,,,Venezuela,9/23/1957,Male,Czech Republic,Compensation Analyst,Sales,174547.35,7/5/2014,8/18/2012,45,On Leave,3.5,Headquarters,Part-time,45,45
46,Bruno,Preston,bpreston19@slashdot.org,960-298-2666,0 Scoville Court,Candelaria,,4323,Philippines,6/26/1987,Male,Brazil,Teacher,Marketing,87714.12,12/7/2002,8/31/2010,46,Active,1.3,Branch Office,Part-time,46,46
47,Halie,Hofton,hhofton1a@people.com.cn,173-953-9612,5 Dennis Point,Saratak,,,Armenia,12/24/1992,Bigender,China,Tax Accountant,Product Management,104308.65,6/18/2012,3/30/2021,47,Active,1.6,Remote,Part-time,47,47
48,Malory,Fydo,mfydo1b@cmu.edu,885-486-3991,5475 Rowland Road,Nakhchivan,,,Azerbaijan,11/18/1987,Female,Spain,Assistant Manager,Product Management,106220.29,5/17/2002,10/21/2009,48,Inactive,3.5,Remote,Full-time,48,48
49,Alfreda,Huffa,ahuffa1c@yelp.com,475-468-4924,27 Holy Cross Parkway,Pasinan Barat,,,Indonesia,3/20/1995,Female,China,Developer III,Business Development,71340.97,1/21/2003,3/12/2000,49,Inactive,1.1,Remote,Part-time,49,49
50,Brooks,Blything,bblything1d@sciencedaily.com,412-359-4108,95 Montana Point,Manisi,,,China,3/24/1987,Male,Trinidad and Tobago,Recruiting Manager,Business Development,20220.07,7/15/2014,4/16/2000,50,Inactive,2.6,Remote,Contract,50,50
51,Melisse,Nardoni,mnardoni1e@vk.com,881-939-9110,50 Reindahl Crossing,Talon,,,Indonesia,10/15/1998,Female,Ukraine,Quality Engineer,Product Management,194347.56,6/30/2013,8/17/2014,51,Inactive,3.2,Remote,Full-time,51,51
52,Petronella,O'Feeney,pofeeney1f@patch.com,426-934-0771,893 Grayhawk Street,Anjozorobe,,,Madagascar,5/16/1977,Female,Azerbaijan,Help Desk Technician,Legal,80578.08,9/16/2010,2/17/2000,52,Active,1.9,Branch Office,Full-time,52,52
53,Jeanie,Baff,jbaff1g@technorati.com,765-808-2598,3 2nd Plaza,Bayonne,Aquitaine,64109 CEDEX,France,4/11/1950,Female,Papua New Guinea,Design Engineer,Legal,53688.32,12/7/2012,6/17/2006,53,On Leave,2.3,Remote,Part-time,53,53
54,Damiano,Weightman,dweightman1h@statcounter.com,357-780-2729,36428 Glendale Plaza,Helixi,,,China,5/14/1971,Male,Indonesia,Programmer I,Support,56524.53,2/28/2010,1/28/2011,54,Active,4.2,Branch Office,Full-time,54,54
55,Torie,Pinkney,tpinkney1i@cafepress.com,121-196-9833,16 Old Shore Place,Pag-asa,,8113,Philippines,1/2/1999,Female,Afghanistan,Assistant Professor,Accounting,88004.99,6/26/2003,12/26/2011,55,Inactive,4.4,Headquarters,Contract,55,55
56,Larine,Russ,lruss1j@apple.com,312-996-3711,10144 Lakewood Circle,Karema,,,Tanzania,1/9/1986,Female,Philippines,Developer III,Sales,77833.25,10/21/2003,6/5/2018,56,On Leave,1.3,Branch Office,Full-time,56,56
57,Winfred,Gopsell,wgopsell1k@cloudflare.com,346-714-6279,2 Portage Avenue,Dolo,,1270,Philippines,3/3/1954,Male,Armenia,Software Engineer I,Product Management,35690.49,7/23/2000,10/1/2016,57,On Leave,3.7,Remote,Contract,57,57
58,Odette,Novakovic,onovakovic1l@cornell.edu,119-313-7670,5 Hoepker Road,Moravský Beroun,,793 05,Czech Republic,4/3/1968,Female,Russia,Speech Pathologist,Research and Development,143037.8,3/23/2018,11/1/2022,58,Inactive,4.7,Headquarters,Contract,58,58
59,Roxanne,Poure,rpoure1m@hp.com,540-854-9040,74 Donald Way,N'Djamena,,,Chad,2/24/1964,Female,Poland,Geological Engineer,Product Management,122235.19,3/15/2021,7/5/2000,59,Inactive,2.4,Branch Office,Contract,59,59
60,Valeda,Callendar,vcallendar1n@ovh.net,319-965-5945,35 Monica Court,Kaka,,,Turkmenistan,9/18/1963,Female,Lithuania,Electrical Engineer,Research and Development,124342.28,3/12/2002,6/3/2000,60,Active,2.3,Headquarters,Contract,60,60
61,Susann,Cushelly,scushelly1o@ameblo.jp,942-765-9666,574 Merry Street,Kowang Utara,,,Indonesia,1/16/1992,Female,Philippines,Software Test Engineer III,Support,84592.88,10/1/2019,10/22/2018,61,Inactive,3.1,Branch Office,Contract,61,61
62,Alidia,Weldrake,aweldrake1p@unesco.org,365-790-5837,2 Magdeline Alley,Saripin,,,Indonesia,9/23/1994,Female,Indonesia,VP Product Management,Support,165277.02,8/20/2013,7/16/2009,62,Inactive,2.1,Remote,Part-time,62,62
63,Klarika,Axton,kaxton1q@state.gov,894-362-7102,4 Westridge Trail,Moses,Porto,4415-719,Portugal,1/7/1986,Polygender,United States,VP Accounting,Support,196566.23,7/28/2011,5/1/2019,63,Active,3.5,Remote,Contract,63,63
64,Aldus,Litton,alitton1r@cbsnews.com,129-860-0999,1 High Crossing Place,Conceição do Coité,,48730-000,Brazil,12/2/1961,Male,France,Nurse,Human Resources,103960.67,9/26/2013,9/29/2010,64,Inactive,5.0,Remote,Contract,64,64
65,Brigid,Bliben,bbliben1s@comcast.net,397-396-7160,05 Southridge Center,Cimo de Vila,Aveiro,3700-755,Portugal,9/19/1953,Female,Iran,Senior Quality Engineer,Training,108180.22,9/26/2016,5/26/2006,65,Inactive,4.9,Remote,Full-time,65,65
66,Friedrick,Tall,ftall1t@howstuffworks.com,641-633-8968,26001 Orin Point,Rosario de Lerma,,4405,Argentina,12/11/1989,Male,China,Social Worker,Marketing,27242.32,11/19/2018,8/11/2022,66,Active,3.6,Headquarters,Part-time,66,66
67,Leese,Rockell,lrockell1u@a8.net,331-288-1215,6149 Eagle Crest Circle,Skalat,,,Ukraine,10/17/1968,Female,Sweden,Automation Specialist IV,Accounting,46379.21,12/10/2012,4/1/2013,67,Inactive,3.4,Branch Office,Part-time,67,67
68,Efrem,Vaines,evaines1v@about.com,695-261-0292,8 Prairieview Pass,Pridraga,,23226,Croatia,2/24/1998,Male,Mexico,Safety Technician I,Marketing,175951.01,3/14/2021,1/30/2016,68,Active,1.9,Headquarters,Full-time,68,68
69,Roosevelt,Stancer,rstancer1w@bing.com,438-869-8037,8835 6th Way,Puerto Nariño,,911018,Colombia,7/28/1979,Male,Philippines,Assistant Professor,Sales,119292.15,7/13/2014,1/18/2010,69,Active,3.6,Remote,Part-time,69,69
70,Gene,Labuschagne,glabuschagne1x@nhs.uk,259-691-7399,22 Haas Court,Falun,Dalarna,791 91,Sweden,6/11/2001,Female,Jordan,Research Assistant IV,Research and Development,51279.2,6/25/2011,2/21/2012,70,Active,4.4,Branch Office,Full-time,70,70
71,Karen,Harsnep,kharsnep1y@buzzfeed.com,468-608-6057,029 Cambridge Parkway,Wañgan,,2442,Philippines,9/1/1990,Female,France,Data Coordinator,Marketing,183618.4,9/27/2012,5/12/2006,71,Inactive,3.5,Headquarters,Contract,71,71
72,Jay,Veque,jveque1z@trellian.com,273-453-9664,750 Westend Parkway,El Cerrito,Jalisco,48203,Mexico,11/14/1980,Male,Poland,Project Manager,Business Development,178787.35,8/17/2002,10/21/2007,72,On Leave,3.8,Branch Office,Full-time,72,72
73,Kelvin,Ellcome,kellcome20@usatoday.com,635-168-4437,65844 Union Circle,Nikolayevsk,,624642,Russia,2/20/1985,Male,Serbia,Electrical Engineer,Business Development,51307.4,2/13/2014,10/30/2003,73,Inactive,4.6,Branch Office,Contract,73,73
74,Elianora,Dresse,edresse21@wix.com,564-132-9029,8412 8th Drive,Yangping,,,China,2/24/1991,Female,China,Chemical Engineer,Research and Development,68631.03,1/17/2000,5/19/2006,74,On Leave,2.4,Remote,Full-time,74,74
75,Blanca,Cockerton,bcockerton22@wired.com,104-495-2239,19184 Michigan Street,Al ‘Āqir,,,Yemen,1/28/2003,Female,Russia,Senior Sales Associate,Training,31953.36,3/26/2001,7/15/2020,75,On Leave,2.5,Remote,Full-time,75,75
76,Esme,Esler,eesler23@mashable.com,730-676-4488,4196 Declaration Terrace,Mouhijärvi,,00171,Finland,4/28/1973,Agender,South Africa,Assistant Media Planner,Research and Development,101468.08,12/28/2010,8/22/2021,76,Inactive,1.3,Headquarters,Part-time,76,76
77,Nicholas,Mabson,nmabson24@yahoo.co.jp,913-580-4575,62030 Lawn Place,Magang,,,China,4/18/1999,Male,Indonesia,Help Desk Operator,Legal,50502.1,11/6/2021,12/11/2011,77,Inactive,3.3,Remote,Full-time,77,77
78,Moses,Tollmache,mtollmache25@wix.com,821-399-4979,90305 Ridgeway Junction,Luau,,,Angola,11/1/1997,Male,Bosnia and Herzegovina,Electrical Engineer,Accounting,147800.1,4/12/2011,4/13/2009,78,Inactive,1.5,Branch Office,Contract,78,78
79,Cooper,McAvaddy,cmcavaddy26@telegraph.co.uk,384-961-6840,982 Northview Way,Lisewo,,86-230,Poland,3/14/1986,Male,China,GIS Technical Architect,Support,35632.99,10/27/2013,8/10/2015,79,Inactive,1.0,Branch Office,Part-time,79,79
80,Alonzo,Rojahn,arojahn27@soundcloud.com,577-182-9671,0 Hansons Pass,Wolowona,,,Indonesia,12/29/1982,Bigender,Portugal,Technical Writer,Sales,68094.32,5/22/2000,10/10/2022,80,Inactive,4.0,Headquarters,Contract,80,80
81,Micky,Berkeley,mberkeley28@lycos.com,632-779-6691,86919 Monica Place,Padova,Veneto,35129,Italy,1/22/1955,Male,China,Physical Therapy Assistant,Human Resources,55534.66,5/22/2017,12/17/2016,81,Inactive,3.3,Branch Office,Full-time,81,81
82,Tadeo,Hardan,thardan29@desdev.cn,796-325-9346,31 Valley Edge Parkway,Kŭrdzhali,,6710,Bulgaria,5/25/1992,Non-binary,Philippines,Occupational Therapist,Business Development,168907.23,6/29/2021,11/4/2016,82,Inactive,4.3,Remote,Contract,82,82
83,Terrye,Tootal,ttootal2a@economist.com,211-167-5360,13454 6th Crossing,Santo Tomé,,5719,Argentina,10/6/1991,Female,China,Engineer III,Human Resources,125758.86,1/4/2008,7/17/2003,83,Active,1.5,Remote,Contract,83,83
84,Maxwell,Texton,mtexton2b@uol.com.br,862-365-6588,0 Wayridge Road,Nové Město nad Metují,,549 01,Czech Republic,9/8/1953,Male,Russia,Account Executive,Human Resources,153054.7,10/31/2018,8/20/2017,84,On Leave,4.5,Remote,Contract,84,84
85,Cary,Skynner,cskynner2c@deliciousdays.com,361-314-0214,89 Hanson Plaza,Honglu,,,China,3/4/1999,Male,China,Account Coordinator,Accounting,130180.37,5/6/2009,11/27/2018,85,On Leave,2.0,Headquarters,Full-time,85,85
86,Wendie,De Avenell,wdeavenell2d@meetup.com,934-403-5830,687 Continental Park,Mae Wang,,50360,Thailand,9/13/1950,Female,Indonesia,Safety Technician II,Services,156137.58,9/28/2000,7/24/2017,86,On Leave,2.5,Branch Office,Contract,86,86
87,Marve,Polin,mpolin2e@aol.com,252-758-5902,27 Summer Ridge Road,Pingshan,,,China,12/9/1979,Male,United States,Nuclear Power Engineer,Marketing,129928.83,1/13/2007,3/8/2001,87,Active,2.4,Remote,Contract,87,87
88,Barclay,Platt,bplatt2f@infoseek.co.jp,942-146-7419,8 Huxley Avenue,Kafr ad Dawwār,,,Egypt,7/24/1969,Male,Latvia,Developer I,Support,127931.73,11/23/2022,3/14/2012,88,On Leave,5.0,Branch Office,Full-time,88,88
89,Donalt,Dutnell,ddutnell2g@globo.com,170-450-6482,0580 Bartillon Plaza,Popova,,690901,Russia,3/9/1972,Male,Morocco,Junior Executive,Product Management,165632.58,1/6/2006,9/4/2010,89,On Leave,4.7,Remote,Contract,89,89
90,Perrine,Royds,proyds2h@imageshack.us,402-325-9354,1 Johnson Avenue,Senador Pompeu,,63600-000,Brazil,1/8/1951,Female,Finland,Research Associate,Sales,158635.97,10/30/2016,12/17/2010,90,Inactive,2.8,Headquarters,Contract,90,90
91,Hatti,Gilley,hgilley2i@exblog.jp,266-105-1987,98 Golden Leaf Plaza,Qiling,,,China,2/2/1972,Female,China,Software Engineer I,Product Management,111119.22,4/15/2010,12/4/2012,91,Inactive,4.4,Branch Office,Contract,91,91
92,Eddie,Pennoni,epennoni2j@opensource.org,129-598-3917,8866 Merry Drive,Kute,,,Indonesia,1/2/2001,Female,Russia,Graphic Designer,Support,110534.55,5/30/2002,8/2/2008,92,Active,1.3,Remote,Full-time,92,92
93,Rubi,Tilson,rtilson2k@webnode.com,864-602-4114,4 Duke Parkway,Shancheng,,,China,10/3/1958,Female,Indonesia,Speech Pathologist,Human Resources,63613.95,11/15/2012,9/24/2010,93,On Leave,1.9,Remote,Part-time,93,93
94,Cynthy,Bullene,cbullene2l@weather.com,481-872-5196,190 Division Lane,Békéscsaba,Békés,5604,Hungary,4/6/1989,Female,Canada,Product Engineer,Accounting,181354.14,11/5/2022,8/29/2013,94,Inactive,1.9,Remote,Full-time,94,94
95,Marion,Peever,mpeever2m@tumblr.com,471-271-6535,42 Anniversary Pass,Espinosa,,39510-000,Brazil,6/24/1979,Male,Peru,Data Coordinator,Support,64769.74,4/3/2003,8/23/2011,95,Inactive,2.2,Headquarters,Full-time,95,95
96,Isidor,Sumpton,isumpton2n@tinypic.com,396-530-4853,38747 Cambridge Avenue,Bāgh-e Maīdān,,,Afghanistan,6/25/1980,Male,Sri Lanka,Operator,Support,49518.95,8/31/2006,9/5/2020,96,Active,3.7,Remote,Part-time,96,96
97,Tracey,Loblie,tloblie2o@wordpress.org,419-785-9468,83187 Stang Crossing,Sankeng,,,China,12/4/1986,Female,Philippines,Programmer Analyst I,Engineering,47039.12,8/13/2016,11/27/2001,97,Active,3.3,Headquarters,Part-time,97,97
98,Amble,Pott,apott2p@netvibes.com,283-805-6030,28075 Bay Road,Vaiusu,,,Samoa,6/10/1956,Male,Poland,VP Quality Control,Services,47201.18,1/8/2013,4/11/2010,98,Active,3.4,Remote,Contract,98,98
99,Giacomo,Atack,gatack2q@netvibes.com,849-271-7130,177 Troy Alley,Ath,Wallonie,7823,Belgium,5/22/2000,Male,Bolivia,Librarian,Accounting,64633.56,7/5/2015,2/21/2009,99,Active,2.8,Headquarters,Full-time,99,99
100,Natal,Wartnaby,nwartnaby2r@amazon.co.jp,215-647-0753,0 Doe Crossing Park,Philadelphia,Pennsylvania,19141,United States,3/4/2002,Male,Indonesia,Geologist IV,Marketing,148202.83,11/24/2012,12/3/2008,100,Active,4.3,Remote,Contract,100,100
101,Theresina,Brunel,tbrunel2s@networkadvertising.org,742-677-6056,501 Gina Street,Yinzhu,,,China,10/17/1970,Female,Brazil,Registered Nurse,Legal,151511.72,3/6/2021,8/5/2020,101,Active,4.1,Remote,Contract,101,101
102,Regan,Marnes,rmarnes2t@indiatimes.com,170-269-6880,932 Oneill Terrace,Strawberry Hills,New South Wales,1424,Australia,2/1/1953,Male,Mexico,Payment Adjustment Coordinator,Human Resources,177210.99,9/14/2005,3/1/2021,102,Active,3.8,Branch Office,Contract,102,102
103,Phelia,Trethewey,ptrethewey2u@spiegel.de,530-213-6748,42580 Veith Avenue,Shidu,,,China,1/13/1965,Female,Mexico,Staff Accountant IV,Business Development,79695.8,7/20/2010,3/17/2014,103,Active,1.1,Headquarters,Contract,103,103
104,Shurwood,Alywen,salywen2v@google.com.au,623-920-8808,12998 Di Loreto Way,Mateur,,,Tunisia,2/12/1965,Male,China,Media Manager II,Training,89042.72,12/29/2003,7/25/2003,104,On Leave,1.2,Remote,Full-time,104,104
105,Errick,Beseke,ebeseke2w@alexa.com,234-937-5376,17294 Summit Trail,Cradock,,5884,South Africa,11/17/1975,Male,Czech Republic,Environmental Tech,Support,169527.75,5/23/2013,5/1/2019,105,Inactive,4.4,Remote,Part-time,105,105
106,Fergus,Valencia,fvalencia2x@soup.io,127-370-0332,28103 Corry Road,Zürich,Kanton Zürich,8088,Switzerland,8/29/1967,Male,Indonesia,Senior Cost Accountant,Training,94707.18,1/30/2001,4/1/2019,106,On Leave,2.1,Branch Office,Contract,106,106
